payment_id,order_id,customer_id,customer_name,customer_email,customer_phone,amount_inr,currency,failure_reason,error_description,created_at,retry_count,last_attempt_at
pay_490617f2747b6d,order_bb026576f512c4,cust_a97065e18e,Nikhil Sharma,nikhil.sharma15@example.com,9871385010,9529.45,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-26T11:50:40+00:00,0,
pay_b8a6171f1ee34d,order_be2d740a1e9b23,cust_b0ae8f08c3,Ishita Menon,ishita.menon45@example.com,9298803134,14311.8,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-23T09:39:40+00:00,0,
pay_961d33ba350843,order_3ba5cd2fdea45c,cust_c9e48e8c25,Aarav Sharma,aarav.sharma74@example.com,9739930411,1369.67,INR,card_expired,Card used for payment has expired,2026-08-25T14:59:40+00:00,3,2026-08-27T08:07:20+00:00
pay_2720797d32ebd6,order_8a14be62295b47,cust_87c5421eec,Arjun Kapoor,arjun.kapoor8@example.com,9100614068,2669.77,INR,fraud_suspected,Payment blocked by risk engine - suspected fraudulent activity,2026-08-26T10:42:40+00:00,2,2026-08-27T09:29:39+00:00
pay_dc713d960c0fd1,order_28f49481a0a04d,cust_98ae43346c,Ananya Singh,ananya.singh6@example.com,9168212356,1000.9,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-25T05:51:40+00:00,0,
pay_5bc440f14b1a26,order_3e83b91f25440f,cust_ae8a781390,Diya Rao,diya.rao63@example.com,9950961305,271.85,INR,card_expired,Card used for payment has expired,2026-08-26T11:30:40+00:00,0,
pay_972a846916419f,order_17fc695a07a0ca,cust_9a1de64481,Aarav Pillai,aarav.pillai0@example.com,9128492780,516.63,INR,card_expired,Card used for payment has expired,2026-08-25T21:59:40+00:00,0,
pay_3d3f3799a07295,order_b6aae05b13d5f2,cust_55fa1ab845,Neha Rao,neha.rao33@example.com,9443285529,2631.85,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-25T23:26:40+00:00,0,
pay_e776b886d534ee,order_cc8218dac696f5,cust_5a31b4cccd,Priya Sharma,priya.sharma66@example.com,9335154329,323.55,INR,card_expired,Card used for payment has expired,2026-08-23T20:49:40+00:00,0,
pay_ea1fca65e27a98,order_43cf2fde24933b,cust_8fb5d27bbe,Vivaan Gupta,vivaan.gupta5@example.com,9678722458,4711.68,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-25T05:57:40+00:00,0,
pay_a6c9537f84dad0,order_2e76128b473544,cust_a28140446f,Sanya Das,sanya.das53@example.com,9974288855,314.73,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T07:37:40+00:00,3,2026-08-25T22:53:41+00:00
pay_372f871a45ee43,order_585d3f861d2324,cust_ad9fb00d48,Vivaan Das,vivaan.das905@example.com,9828519068,9970.33,INR,quantum_flux_declined,Unrecognised processor response code 0x5B,2026-08-26T22:57:40+00:00,0,
